code,purchase_date,refund_date,reason,feedback
KWLRD6J25,2023-05-01 15:48:29.277112+00:00,2023-06-20 20:44:18.421343+00:00,Product didn't meet expectations,"Honestly, too complicated for what I wanted. I'd rather just do my own thing in oviond."
VUTFDV56L,2023-06-20 19:55:05.366779+00:00,2023-06-20 20:20:32.032973+00:00,Product didn't meet expectations,Very basic
04X1HJFJM,2023-06-12 14:24:59.379248+00:00,2023-06-20 16:06:17.459574+00:00,Product didn't meet expectations,is not stable to me
YN3Q11Y0B,2023-06-12 14:24:59.404352+00:00,2023-06-20 16:06:00.715442+00:00,Product didn't meet expectations,is not stable to me
PGORNECCY,2023-06-06 21:27:28.202283+00:00,2023-06-20 05:48:36.020011+00:00,Other,.
1TMGJUMWY,2023-06-06 21:27:28.230921+00:00,2023-06-20 05:48:18.227230+00:00,Other,.
F26SQ0IK7,2023-06-06 21:27:28.254560+00:00,2023-06-20 05:48:05.865403+00:00,Other,.
50H0JSXC5,2023-06-06 21:27:28.276505+00:00,2023-06-20 05:47:55.426554+00:00,Other,.
R821OZKVS,2023-06-06 21:27:28.296186+00:00,2023-06-20 05:47:39.498221+00:00,Other,.
SDGPXVH2J,2023-06-07 22:31:57.901895+00:00,2023-06-19 19:49:50.912876+00:00,Other,Not sure of development sorry
DUTHT95GC,2023-06-08 16:13:03.920188+00:00,2023-06-19 19:49:29.930085+00:00,Other,Not sure of development sorry
QQVVRNQJ2,2023-06-12 18:03:22.690866+00:00,2023-06-19 19:48:59.092298+00:00,Other,Not sure of development sorry
QKXD9JP3U,2023-06-14 21:56:18.542092+00:00,2023-06-19 19:48:36.613237+00:00,Other,Not sure of development sorry
ZYWC53K12,2023-06-14 21:56:18.569911+00:00,2023-06-19 19:48:08.687932+00:00,Other,Not sure of development sorry
Z4A1PWKA8,2023-06-16 06:28:02.102412+00:00,2023-06-19 05:28:03.863739+00:00,Product was not as described,Na
IFIQ2Y7P6,2023-06-16 06:28:02.130491+00:00,2023-06-19 05:27:43.951378+00:00,Product was not as described,Na
U16Z95OK4,2023-06-16 06:28:02.151716+00:00,2023-06-19 05:27:19.341717+00:00,Product was not as described,Na
4EK4LBF9A,2023-06-16 06:28:02.172756+00:00,2023-06-19 05:26:58.106752+00:00,Product was not as described,Na
LGKRGMU7Q,2023-05-14 15:34:20.578932+00:00,2023-06-19 03:17:07.916134+00:00,I was never able to access the product,No Support Ticket
AUYQTK8AG,2023-06-15 17:56:46.072860+00:00,2023-06-18 14:09:33.882586+00:00,I was never able to access the product,No Support Ticket
28P17U46Z,2023-05-09 10:10:11.243646+00:00,2023-06-18 08:23:45.734389+00:00,Product didn't meet expectations,Can't work out what I can use it for.
KHO7HTRCC,2023-06-17 01:25:52.559872+00:00,2023-06-17 02:46:08.606007+00:00,Product didn't meet expectations,Still has many things to improve
TGDEI6JQH,2023-06-12 10:48:05.292836+00:00,2023-06-17 01:11:27.531010+00:00,Product didn't meet expectations,"I tried the platform , showing data in charts and other visual are not correct."
QF5B88QUQ,2023-06-13 16:04:28.409054+00:00,2023-06-16 14:13:49.683098+00:00,Product didn't meet expectations,Site showed a connection to my google account. I disabled pop-ups and allowed 3rd party cookies on 3 diff browsers. Never able to select an existing sheet. App could write new sheet using a template.
XAWDESE3C,2023-06-13 16:04:28.495214+00:00,2023-06-16 14:13:30.345854+00:00,Product didn't meet expectations,Site showed a connection to my google account. I disabled pop-ups and allowed 3rd party cookies on 3 diff browsers. Never able to select an existing sheet. App could write new sheet using a template.
YMJLJTEOS,2023-06-09 11:39:25.844049+00:00,2023-06-16 08:26:41.456090+00:00,Product didn't meet expectations,thanks
AIHYM53HB,2023-04-23 02:21:29.091947+00:00,2023-06-16 01:29:05.555038+00:00,Other,changed mind
ST1OLXIEE,2023-05-05 04:19:18.083404+00:00,2023-06-15 17:00:15.802803+00:00,Other,Not sure
E0VX3IX71,2023-06-09 16:38:17.420101+00:00,2023-06-15 16:48:55.048556+00:00,Support was slow or lacking,"contacted support for help, didn´t gent any"
86O0YC9JA,2023-06-09 16:38:17.442594+00:00,2023-06-15 16:48:25.165820+00:00,Support was slow or lacking,"contacted support for help, didn´t gent any"
QOZRVEWBN,2023-06-09 16:38:17.462439+00:00,2023-06-15 16:47:59.062658+00:00,Support was slow or lacking,"contacted support for help, didn´t gent any"
S8KR6NMSE,2023-04-26 04:54:41.085263+00:00,2023-06-15 16:33:55.443652+00:00,I was never able to access the product,No Support Ticket
Y7RD67YK0,2023-06-15 15:43:05.990667+00:00,2023-06-15 15:58:19.408829+00:00,Product didn't meet expectations,Improve it please
AASBBWJS3,2023-06-15 01:07:10.277890+00:00,2023-06-15 15:58:11.944804+00:00,Product didn't meet expectations,Did not provide enough creative freedom
YZREDF207,2023-05-11 15:04:41.069671+00:00,2023-06-15 07:20:11.745467+00:00,,
K4CTO2DPZ,2023-05-11 15:04:41.077684+00:00,2023-06-15 07:19:55.011319+00:00,,
YP9C69U91,2023-05-11 15:04:41.059048+00:00,2023-06-15 07:19:28.324409+00:00,,
DG2RZ411E,2023-05-18 07:04:12.972626+00:00,2023-06-14 18:42:15.297264+00:00,Other,The product is awesome and Deepak has been very supportive and taking key initiatives to ensure all concerns addressed. Would highly recommend this product to anyone and everyone needed visualisation
S05L6Y3JR,2023-04-30 21:43:25.825714+00:00,2023-06-13 22:40:45.921550+00:00,Other,business needs changed
U1RJKQN4O,2023-06-09 20:56:49.695027+00:00,2023-06-13 21:27:02.521695+00:00,,
ZXC6Q6PW3,2023-06-09 20:56:49.674458+00:00,2023-06-13 21:26:49.445447+00:00,,
776HX4CGQ,2023-06-09 20:56:49.645266+00:00,2023-06-13 21:26:28.216720+00:00,,
6G3C35FAS,2023-06-09 20:56:49.717194+00:00,2023-06-13 21:26:05.805140+00:00,,
D6GWNNSKM,2023-06-09 20:56:49.738918+00:00,2023-06-13 21:24:57.794369+00:00,,
XG21J8V5Q,2023-04-30 03:39:33.024318+00:00,2023-06-13 14:27:01.616016+00:00,Product didn't meet expectations,The product is promising but not really what I'm looking for.
Z00XINGVO,2023-06-13 12:48:23.205924+00:00,2023-06-13 12:54:21.660479+00:00,Product didn't meet expectations,Not what I needed
RFOOH0KGO,2023-05-01 11:20:54.630041+00:00,2023-06-12 21:04:33.228306+00:00,Other,refund & repurchase for sumo day discount
Z3QM2JPO4,2023-05-04 04:40:25.876620+00:00,2023-06-12 21:03:29.207319+00:00,,
KB4BK1ZYM,2023-05-04 04:40:25.884506+00:00,2023-06-12 21:03:13.116984+00:00,,
7OZWWB1KU,2023-06-12 02:30:17.339588+00:00,2023-06-12 21:02:55.896867+00:00,Product didn't meet expectations,was not able to connect to a sheet connected to bigquery
DVG0C79JN,2023-05-04 04:40:25.891820+00:00,2023-06-12 21:02:55.014077+00:00,,
ITTB6M17W,2023-05-04 04:40:25.899562+00:00,2023-06-12 21:02:32.833459+00:00,,
66OYHWC94,2023-05-04 04:40:25.907332+00:00,2023-06-12 21:02:06.330795+00:00,,
DJ52VWABA,2023-06-12 16:59:55.555469+00:00,2023-06-12 20:11:50.520182+00:00,Product didn't meet expectations,too few feature in creating chart
GCEIKJ9QB,2023-04-22 07:50:28.495469+00:00,2023-06-12 19:15:37.104447+00:00,Other,Going to use different app
ELYMRRPUB,2023-05-28 02:41:46.025734+00:00,2023-06-12 14:36:03.595019+00:00,Product didn't meet expectations,Looking for a product similar to spreadsimple
1OZUSGPQC,2023-05-28 02:41:46.049906+00:00,2023-06-12 14:35:43.814733+00:00,Product didn't meet expectations,Looking for a product similar to spreadsimple
BKKP2PZGR,2023-05-28 02:41:46.068802+00:00,2023-06-12 14:35:18.545326+00:00,Product didn't meet expectations,Looking for a product similar to spreadsimple
TZB6L5D7H,2023-05-28 02:41:46.087722+00:00,2023-06-12 14:34:57.868547+00:00,Product didn't meet expectations,Looking for a product similar to spreadsimple
ZW4C3REW2,2023-05-28 02:41:46.107612+00:00,2023-06-12 14:32:16.428627+00:00,Product didn't meet expectations,Looking for a product similar to spreadsimple
XL6OWT1XC,2023-05-30 21:15:15.184064+00:00,2023-06-12 13:16:41.859641+00:00,Product didn't meet expectations,I use other spreadsheets other then google
8OHN0ZDV1,2023-05-23 03:31:11.320955+00:00,2023-06-12 05:27:57.547196+00:00,Other,-
GJICDXFY7,2023-04-24 13:06:52.130085+00:00,2023-06-12 01:18:20.525371+00:00,Product didn't meet expectations,.
YW7Y8IC10,2023-04-24 13:06:52.123954+00:00,2023-06-12 01:17:58.824059+00:00,Product didn't meet expectations,.
WSMPJMT2O,2023-04-24 13:06:52.115158+00:00,2023-06-12 01:17:37.028450+00:00,Product didn't meet expectations,NA
3AYXYDQM2,2023-05-22 22:08:18.602004+00:00,2023-06-11 22:06:14.224991+00:00,Other,Not using
AOZDNMGT5,2023-04-22 07:53:46.139260+00:00,2023-06-11 20:43:11.911308+00:00,Other,sumoday offer collection
T82B9L91Y,2023-06-04 05:34:33.683740+00:00,2023-06-06 14:40:18.097267+00:00,Product didn't meet expectations,"Unfortunately not for me. I watched the video, all looks good. Good sales... but the product does not live up to the claims.
"
FGXFBMO0R,2023-04-23 10:07:53.612022+00:00,2023-05-30 21:13:11.587381+00:00,Other,learning more about other tools so I will focus on that for the moment
ZJ7V7QEI7,2023-05-12 19:20:50.209188+00:00,2023-05-30 21:12:27.786722+00:00,Other,"I really like it,  but I am also learning postgresql. and retool,  so I think will spend any spare cash on more google Sheet tools,  I am also learning scripts,  so best of luck to you,  I might get o"
UATYAZ09A,2023-05-18 09:03:15.268771+00:00,2023-05-20 09:15:14.774487+00:00,Product didn't meet expectations,"Losing connection for no good reason, doesn't work, can't replicate the ""boards"", not intuitive, can't select % width, unreliable, custom domain features need to be worked on"
RW7EE4FWM,2023-05-11 17:09:06.352315+00:00,2023-05-17 17:33:04.785379+00:00,Product didn't meet expectations,Great idea and may come back to it when more templates and widgets are available.
UHAY1MS2P,2023-05-11 17:09:06.345232+00:00,2023-05-17 17:32:45.916165+00:00,Product didn't meet expectations,Great idea and may come back to it when more templates and widgets are available.
PESOFFMC2,2023-05-11 17:09:06.358244+00:00,2023-05-17 17:32:23.081260+00:00,Product didn't meet expectations,Great idea and may come back to it when more templates and widgets are available.
1LCIE7MG4,2023-04-26 05:29:30.946806+00:00,2023-05-17 08:27:42.953324+00:00,,
3YHJK8T9O,2023-05-11 06:35:46.719298+00:00,2023-05-16 12:25:47.393980+00:00,Other,No reason provided.
Y5KRQOEAU,2023-05-16 04:27:12.470917+00:00,2023-05-16 08:14:14.570518+00:00,Other,temp
PMW02WA81,2023-04-24 13:03:57.645498+00:00,2023-05-14 23:54:07.379063+00:00,,
XN51RHV20,2023-05-12 08:29:20.488595+00:00,2023-05-13 21:16:07.572126+00:00,Other,no reason provided.
8FI6WFW53,2023-05-13 01:15:40.001246+00:00,2023-05-13 13:41:03.778300+00:00,Other,no reason provided.
O2E7WO9XY,2023-05-10 13:29:57.370642+00:00,2023-05-12 16:00:42.613703+00:00,Product didn't meet expectations,dsvf
HO65CIKK4,2023-04-28 17:56:49.380309+00:00,2023-05-11 16:17:32.777142+00:00,Other,No reason provided
2D51RORPV,2023-05-06 09:48:51.602745+00:00,2023-05-11 07:34:55.706508+00:00,Product didn't meet expectations,No es lo que esperaba.
JNPUUBGLU,2023-05-09 18:47:04.442566+00:00,2023-05-10 10:09:59.399411+00:00,Product didn't meet expectations,"I like what you are doing here. However, this is an incomplete product. Way too few options and ways to display data. I won't give you a bad review."
EGO9P9KAL,2023-05-09 01:19:24.449955+00:00,2023-05-09 18:53:09.314612+00:00,Other,reason not provided
7Q24BITI5,2023-05-08 01:51:52.816843+00:00,2023-05-09 03:30:14.252792+00:00,Other,hi im sorry i got confused i ordered this to try it not realizing i already had... how embarrassing.
JA3T4J43I,2023-04-28 16:53:58.552304+00:00,2023-05-08 16:41:45.490462+00:00,Product didn't meet expectations,"The product is complicated to set up. Even the graphics are complicated. The product is not mature enough to be deployed. Too bad, the idea is very good."
41NCNHDE9,2023-04-28 16:53:58.558039+00:00,2023-05-08 16:40:38.955543+00:00,Product didn't meet expectations,"The product is complicated to set up. Even the graphics are complicated. The product is not mature enough to be deployed. Too bad, the idea is very good."
CRVPST9OE,2023-04-27 03:19:52.366570+00:00,2023-05-08 13:57:18.385401+00:00,Product didn't meet expectations,ras
UA8ZPQS30,2023-04-27 03:19:52.360541+00:00,2023-05-08 13:57:00.396771+00:00,Product didn't meet expectations,ras
W0CNH14DQ,2023-04-25 21:10:08.020072+00:00,2023-05-06 21:46:17.417634+00:00,Other,not good
U7ZQE42SA,2023-04-27 20:55:58.455353+00:00,2023-05-05 05:49:50.631361+00:00,Other,None given
12XCAU478,2023-04-28 08:12:03.797903+00:00,2023-05-04 00:05:03.342568+00:00,Other,No reason provided
QGWP4MJ11,2023-05-03 02:44:08.786284+00:00,2023-05-03 03:00:29.364928+00:00,Other,no reason provided.
TU6Y5895G,2023-04-24 11:51:15.073970+00:00,2023-05-02 17:20:23.440063+00:00,Product didn't meet expectations,No.
PGQ55UYWD,2023-04-23 10:51:18.761541+00:00,2023-05-02 12:07:39.262264+00:00,Other,NA
MG874TRKM,2023-04-26 03:24:34.814404+00:00,2023-05-02 10:48:18.581928+00:00,Product didn't meet expectations,I provided a review. Product is not intuitave. Tutorials are painful to watch and describe a more complex usecase instead of a simple one.
7DY7WMPI3,2023-04-26 02:42:25.374706+00:00,2023-05-02 06:24:55.401801+00:00,Product didn't meet expectations,"""App is good, but there seems to be too many bugs and I dont want to risk too much into it until everything has been resolved."""
4TREW7Y0Y,2023-04-26 02:42:25.368661+00:00,2023-05-02 06:24:55.243682+00:00,Product didn't meet expectations,"""App is good, but there seems to be too many bugs and I dont want to risk too much into it until everything has been resolved."""
XIGJIV62H,2023-04-23 19:38:23.683964+00:00,2023-05-02 00:25:28.862548+00:00,Product didn't meet expectations, not working for me
OJV7TUDC6,2023-04-26 16:50:41.473914+00:00,2023-05-01 16:18:16.268562+00:00,Other,No reason provided
7AFP86EHY,2023-04-29 15:26:09.075347+00:00,2023-05-01 13:12:19.415330+00:00,Product didn't meet expectations,limited filter function
LKQI1NG1J,2023-04-30 21:09:09.618355+00:00,2023-04-30 22:55:35.627575+00:00,Other,I want to buy other plan
T07EHZBGD,2023-04-30 16:36:19.365238+00:00,2023-04-30 21:51:57.322248+00:00,Product didn't meet expectations, it is not meeting my expectations.
SX82XD8JF,2023-04-22 21:16:39.372618+00:00,2023-04-30 18:57:04.610223+00:00,Product didn't meet expectations,Complex to use
EKJXPYYS4,2023-06-20 06:09:32.351702+00:00,2023-06-28 16:08:46.162425+00:00,Other,dont need it
594L0WRK3,2023-04-29 07:53:33.444926+00:00,2023-06-28 14:42:15.323805+00:00,Other,No reason provided.
HP5B48WQB,2023-06-23 04:02:14.815627+00:00,2023-06-24 23:52:18.523218+00:00,Product didn't meet expectations,It did not work for what I wanted
WV976JNUY,2023-04-26 08:37:40.234696+00:00,2023-04-28 02:56:31.510577+00:00,Other,Formaloo does it for me
SKJAXNC5C,2023-04-26 08:37:40.245581+00:00,2023-04-28 02:56:14.061464+00:00,Other,Formaloo does it for me
58JIS0GPN,2023-04-26 08:37:40.261586+00:00,2023-04-28 02:55:55.732290+00:00,Other,Formaloo does it for me
LEF09PZAK,2023-04-26 08:37:40.253752+00:00,2023-04-28 02:55:37.958177+00:00,Other,Formaloo does it for me
QRV3EWMRU,2023-04-26 08:37:40.269352+00:00,2023-04-28 02:55:19.766460+00:00,Other,Formaloo does it for me
9GVAPTDYK,2023-04-27 00:23:08.245746+00:00,2023-04-28 01:35:27.639763+00:00,Product didn't meet expectations,Wanted something that looked more upscale
AU7LKELZS,2023-04-27 00:23:08.237967+00:00,2023-04-28 01:35:09.263133+00:00,Product didn't meet expectations,Wanted something that looked more upscale
Y11UPQID1,2023-04-27 00:23:08.230116+00:00,2023-04-28 01:34:48.934837+00:00,Product didn't meet expectations,Wanted something that looked more upscale
UF7QHA2B6,2023-04-27 00:23:08.221833+00:00,2023-04-28 01:34:28.643907+00:00,Product didn't meet expectations,Wanted something that looked more upscale
UNN9EUDV7,2023-04-27 00:23:08.213763+00:00,2023-04-28 01:34:08.961097+00:00,Product didn't meet expectations,Wanted something that looked more upscale
K9ATXC991,2023-04-28 00:49:28.897519+00:00,2023-04-28 01:14:18.184675+00:00,Product didn't meet expectations,d
HQ4AY89IW,2023-04-27 09:10:15.590503+00:00,2023-04-27 15:00:36.240553+00:00,Other,/
H2UQML3TD,2023-04-25 16:25:48.304188+00:00,2023-04-26 08:19:47.100224+00:00,Product didn't meet expectations,too hard to use for beginners
MGH83DIDN,2023-04-24 01:30:34.590143+00:00,2023-04-26 05:31:58.949100+00:00,Other,None given
L0GQH69GP,2023-04-23 21:38:36.931790+00:00,2023-04-26 04:43:50.333278+00:00,,
YLYP9UIWV,2023-04-23 21:38:36.926225+00:00,2023-04-26 04:43:37.956313+00:00,,
3NNAL9K91,2023-04-23 21:38:36.919697+00:00,2023-04-26 04:43:22.528878+00:00,,
FXJNE1EOV,2023-04-23 21:38:36.913828+00:00,2023-04-26 04:43:09.997769+00:00,,
QFEZUYQTY,2023-04-23 21:38:36.907589+00:00,2023-04-26 04:42:57.576945+00:00,,
M7BFXDX5B,2023-04-24 02:36:33.053471+00:00,2023-04-25 22:00:00.182496+00:00,Product didn't meet expectations,The Ux is not for me
GGHXR5UYL,2023-04-22 19:38:28.930362+00:00,2023-04-25 21:18:58.221953+00:00,Other,No reason provided.
0616VPNC2,2023-04-22 19:38:28.939308+00:00,2023-04-25 21:18:55.665641+00:00,Other,No reason provided.
NLPNCTSCW,2023-04-22 23:30:00.646126+00:00,2023-04-25 11:44:04.953859+00:00,Other,no reason provided
4REI1XZ9P,2023-04-22 20:12:34.741705+00:00,2023-04-24 21:40:34.598371+00:00,Product didn't meet expectations,Found better alternative
FZPNLR6S6,2023-04-23 02:15:14.973905+00:00,2023-04-24 16:09:06.118623+00:00,Other,No reason provided.
MIXQ52F7C,2023-04-24 07:46:50.107679+00:00,2023-04-24 09:09:46.688886+00:00,Product didn't meet expectations,"I hope to replace from Google Data Studio for easy data visualization and I try for Scater type, data doesn't appear either. 
For data blending, it doesn't know how to set it.."
P4EJVDRMK,2023-04-23 22:57:07.297836+00:00,2023-04-23 22:59:07.249390+00:00,I was never able to access the product,No Support Ticket
SE7TLVZKH,2023-04-23 01:48:17.242720+00:00,2023-04-23 14:25:52.655870+00:00,Product didn't meet expectations,I wasn't happy with this software.
EUUSG96HJ,2023-04-23 01:42:00.308228+00:00,2023-04-23 14:13:45.404772+00:00,Other,no reason provided.
52XNSL9AN,2023-04-23 01:42:00.314604+00:00,2023-04-23 14:13:45.268082+00:00,Other,no reason provided.
6X5U6SUPE,2023-04-23 01:42:00.302069+00:00,2023-04-23 14:13:45.128386+00:00,Other,no reason provided.
6HJJPSV24,2023-04-22 16:29:56.966121+00:00,2023-04-22 17:04:58.060869+00:00,Other,Client told me it was wrong thing they wanted. Sorry
ZTCXUDB5N,2023-04-22 06:00:22.210110+00:00,2023-04-22 13:38:18.311366+00:00,Other,Minor admin issue with onboarding .. agreed with vendor to refund and repurchase
PQZXRM6TP,2023-06-02 18:54:34.531752+00:00,2023-06-11 02:54:50.564684+00:00,Product didn't meet expectations,"I was not able to get the application to work with large spreadsheets that have 4000 rolls. I requested help from support, and they did not have a solution to fix the problem."
8GHINDXUJ,2023-06-02 18:54:34.502805+00:00,2023-06-11 02:54:17.921840+00:00,Product didn't meet expectations,"I was not able to get the application to work with large spreadsheets that have 4000 rolls. I requested help from support, and they did not have a solution to fix the problem."
DTS2J28BU,2023-06-02 02:57:03.892513+00:00,2023-06-09 04:08:31.551587+00:00,Other,I don't have the patience to get it to work the way I want it to..... or see if it will work the way I want it to.
HRXEJOJ03,2023-05-21 02:30:37.834788+00:00,2023-06-07 19:46:21.701292+00:00,Other,Not needed at this time
VCS6QX21M,2023-04-24 12:20:29.489729+00:00,2023-06-07 14:31:11.003527+00:00,Other,"No reason provided.
"
L0BHFF3P4,2023-06-07 07:24:55.640949+00:00,2023-06-07 07:35:12.286473+00:00,Other,Wasn't as easy to use as expected
WWQ87QNA4,2023-05-10 16:44:11.541801+00:00,2023-06-06 21:36:15.592125+00:00,Other,I need to save some money
1TTJ87J8B,2023-05-29 19:06:04.497506+00:00,2023-06-06 18:20:05.875739+00:00,Product didn't meet expectations,Too bad
D9U9WEJTP,2023-06-04 05:34:33.765247+00:00,2023-06-06 14:40:24.156490+00:00,Product didn't meet expectations,"Unfortunately not for me. I watched the video, all looks good. Good sales... but the product does not live up to the claims.
"
RIOF21ZLH,2023-06-04 05:34:33.746884+00:00,2023-06-06 14:40:22.550071+00:00,Product didn't meet expectations,"Unfortunately not for me. I watched the video, all looks good. Good sales... but the product does not live up to the claims.
"
XICMPSZ2P,2023-06-04 05:34:33.727990+00:00,2023-06-06 14:40:21.077122+00:00,Product didn't meet expectations,"Unfortunately not for me. I watched the video, all looks good. Good sales... but the product does not live up to the claims.
"
V46V9L4UT,2023-06-04 05:34:33.707996+00:00,2023-06-06 14:40:19.545421+00:00,Product didn't meet expectations,"Unfortunately not for me. I watched the video, all looks good. Good sales... but the product does not live up to the claims.
"
14RG7EQXZ,2023-06-05 20:12:03.249801+00:00,2023-06-05 21:18:49.137930+00:00,Product didn't meet expectations,"The templates don't work, so I had to actually get a code to be able to see the app itself. The design of the visuals doesn't look pleasing, and the way to add and manage blocks is not very intuitive"
BNB4WHFPY,2023-06-05 20:12:03.276136+00:00,2023-06-05 21:18:31.815671+00:00,Product didn't meet expectations,"The templates don't work, so I had to actually get a code to be able to see the app itself. The design of the visuals doesn't look pleasing, and the way to add and manage blocks is not very intuitive"
YZ3XT4ZQK,2023-05-17 05:52:02.663876+00:00,2023-06-05 17:48:03.587829+00:00,Other,No reason provided.
650S6IKRF,2023-04-24 21:54:53.247151+00:00,2023-06-04 18:37:51.603792+00:00,Other,business needs changed
ANXIDLIIQ,2023-05-07 04:27:27.022595+00:00,2023-06-04 17:09:09.112256+00:00,Other,not
U7HTAFVXW,2023-05-29 12:52:52.927322+00:00,2023-05-31 12:21:52.968144+00:00,Product didn't meet expectations,.
E6G9LPTU5,2023-05-30 19:56:17.471214+00:00,2023-05-31 06:38:18.106964+00:00,Product didn't meet expectations,.
36314P3TT,2023-04-22 06:29:58.834047+00:00,2023-05-30 19:15:18.854559+00:00,I was never able to access the product,No Support Ticket
ZNDXEX4I1,2023-04-22 06:29:58.825783+00:00,2023-05-30 19:15:03.749476+00:00,I was never able to access the product,No Support Ticket
HQOC98X20,2023-04-22 06:29:58.816389+00:00,2023-05-30 19:14:46.314176+00:00,I was never able to access the product,No Support Ticket
F4IFR017Q,2023-05-24 17:36:35.810931+00:00,2023-05-24 20:51:24.750813+00:00,Other,No reason provided.
5KTTKU57F,2023-05-01 05:59:49.090180+00:00,2023-05-23 07:58:43.664034+00:00,Other,"Bought by mistake, not redeemed"
HEZVKJI95,2023-05-16 06:15:30.275250+00:00,2023-05-19 19:20:54.660868+00:00,Other,Not for me
FCANFSSZM,2023-05-16 06:15:30.284591+00:00,2023-05-19 19:20:34.195099+00:00,Other,Not for me
LWT22EIMK,2023-05-16 06:15:30.292502+00:00,2023-05-19 19:20:17.985797+00:00,Other,No for me
EM8Y2OD5X,2023-05-16 06:15:30.300246+00:00,2023-05-19 19:20:00.808354+00:00,Other,Not for me
01DCWS9ZE,2023-05-16 06:15:30.308234+00:00,2023-05-19 19:19:44.764849+00:00,Other,No for me
LVAU62WE3,2023-04-25 13:24:33.038330+00:00,2023-05-18 16:40:19.558737+00:00,Other,Dokin
